"CSP01" "CSP02" "CSP03" "CSP04" "CSP05" "CSP06" "CSP07" "CSP08" "CSP09" "CSP10" "CSP11" "CSP12" "CSP13" "CSP14" "CSP15" "CSP16" "CSP17" "CSP18" "CSP19" "CSP20" "CSP21" "CSP22"
"DE277" 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 1 0
"DE279" 0 0 0 0 0 0 0 0 5.25 0 0.5 0 0 0 0 0 0 0 0 0 0 0
"DE27A" 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE27B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"DE27C" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0
"DE27D" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0
"DE300" 0 0 0 0.571428571428572 0 0 0 0 50.4630952380952 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0
"DE404" 0 0 0 0.571428571428572 0 0 0 0 1.75 0 0 0 0 0 0 0 0 0 0 0 0.25 0
"DE406" 0 0 0 0.571428571428572 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE408" 0 0 0 0 0 0 0 0 0.125 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE40A" 0 0 0 0.571428571428572 0 0 0 0 14.3333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE40C" 0 0 0 0.571428571428572 0 0 0 0 0.725 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE40E" 0 0 0 0 0 0 0 0 2.25 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE501" 0 0 0 0 0 0 0 0 3.28571428571429 0 0 0 0 0 0 0 0 0 0 0 2 0
"DE600" 0 0 0 0 0 0 0 0 9.15 0 2.75 0 0 0 0 0 0 0 0 1 0.833333333333333 0
"DE711" 0 0 0.75 0 0 0 0 0 2.20238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE712" 0 0 0 0 0 0 0 0 4.4 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE713" 0 0 0 0 0 0 0 0 2.01904761904762 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE714" 0 0 0 0 0 0 0 0 8.99999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE715" 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0
"DE716" 0 0 0.75 0 0 0 0 1 1.95238095238095 0 0 0 0 0 1 0 0 0 0 0 0 0
"DE718" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE719" 0 0 0.75 0 0 0 0 0 19.2246031746032 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE71C" 0 0 0 0 0 0 0 0 3.68888888888889 0 0 0 0 0 0 0 0 0 0 0 1 0
"DE71D" 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE71E" 0 0 0 0 0 0 0 0 2.75 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE721" 0 0 0 0 0 0 0 0 16.9166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE722" 0.5 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0.6 0
"DE724" 0.5 0 0 0 0 0 0 0 0.999999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE732" 0 0 0 0 0 0 0 0 8.23333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE735" 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0.25 0
"DE803" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0
"DE80K" 0 0 0 0 0 0 0 0 1.66666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE80L" 0 0 0 0 0 0 0 0 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE80N" 0 0 0 0 0 0 0 0 4.25 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE911" 0 0 0 0 0 0 0 0 13.0166666666667 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0
"DE915" 0 0 4.25 0 0 0 0 0 1.33333333333333 0 0 0 0 0 0 0 0 0 0 1.5 0.25 0
"DE916" 0 0 0 0 0 0 0 0 3.58333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE918" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0
"DE91B" 0 0 0 0 0 0 0 0 4.75 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE923" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.642857142857143 0
"DE926" 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE929" 0 0 0 0 0 0 0 0 11.1666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE933" 0 0 0 0 0 0 0 0 0.285714285714286 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0
"DE935" 0 0 0 0 0 0 0 0 2.4 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE939" 0 0 0 0 0 0 0 0 2.75 0 2.75 0 0 0 0 0 0 0 0 0 0 0
"DE93B" 0 0 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE941" 0 0 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE944" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE947" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0
"DE949" 1 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE94E" 0 0 0 0 0 0 0 0 2.66666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE94H" 0 0 0 0 0 0 0 0 9.99999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA11" 0 0 0 0 0 0 0 0.125 9.16666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA12" 0 0 0 0 0 0 0 0 7.75 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA13" 0 0 0 0 0 0 0 0 5.25 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA14" 0 0 0 0 0 0 0 0 1.91666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA16" 0 0 0 0 0 0 0 0.125 60.1666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA17" 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA19" 0 0 0 0 0 0 0 0 5.99999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA1A" 0 0 0 0 0 0 0 0.125 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA1B" 0 0 0 0 0 0 0 0 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA1C" 0 0 0 0 0 0 0 0 7.33333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA1D" 0 0 0 0 0 0 0 0 12.2083333333333 0 0.375 0 0 0 0 0 0 0 0 0 0 0
"DEA1E" 0 0 0 0 0 0 0 0 7.51785714285715 0 0.375 0 0 0 0 0 0 0 0 0 0 0
"DEA1F" 0 0 0 0 0 0 0 0.125 2.5 0 0 0 0 0 0 0 0 0 0 0 1 0
"DEA23" 0 0 1 0 0 0 0 0.125 2.375 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA24" 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA26" 0 0 0 0 0 0 0 0 4.54285714285714 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA28" 0 0 0 0 0 0 0 0 1.375 0 0.375 0 0 0 0 0 0 0 0 0 0 0
"DEA29" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA2A" 0 0 0 0 0 0 0 0 2.16666666666666 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA2B" 0 0 0 0 0 0 0 0 11.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA2C" 0 0 0 0 0 0 0 0 9.24999999999999 0 0 0 0 0 0 0 0 0 0 0 0.5 0
"DEA2D" 0 0 0 0 0 0 0 0 9.54285714285715 0 0 0 0 0 0 0 0 0 0 0 0.6 0
"DEA31" 0 0 0 0.2 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA32" 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA34" 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA35" 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA36" 0 0 0.75 0.2 0 0 0 0 5.06666666666666 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA37" 0 0 0 0 0 0 0 0 2.75 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA38" 0 0 0 0 0 0 0 0 1.2 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA41" 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0
