
id	label	sublabel	description	x	y	cluster	weight<Links>	weight<Total  link strength>	weight<No. of pub. (2000-2020)>	score<Avg. pub. year>	weight<absloute no>	weight<relative no>	score<Avg.year.set>
322	322	"pregnancy; fatty acid supplementation; docosahexaenoic acid; fish consumption; omega"	"<table><tr><td>Micro-level field:</td><td>322</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>prostaglandins leukotrienes and essential fatty acids; american journal of clinical nutrition; british journal of nutrition; lipids; nutrients</td></tr><tr><td>Terms:</td><td>pregnancy; fatty acid supplementation; docosahexaenoic acid; fish consumption; omega</td></tr></table>"	-0,7433	-0,162	2	2593	525758	19353	2011,0787	0	0	0
323	323	"marek; simplex virus type; herpes zoster; zoster; bovine herpesvirus"	"<table><tr><td>Micro-level field:</td><td>323</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of virology; vaccine; virology; journal of general virology; journal of infectious diseases</td></tr><tr><td>Terms:</td><td>marek; simplex virus type; herpes zoster; zoster; bovine herpesvirus</td></tr></table>"	-0,7463	-0,2043	2	2347	245572	19333	2010,0137	0	0	0
324	324	"mare; corpus luteum; estrous cycle; progesterone; luteolysis"	"<table><tr><td>Micro-level field:</td><td>324</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>theriogenology; journal of dairy science; animal reproduction science; reproduction in domestic animals; indian journal of animal sciences</td></tr><tr><td>Terms:</td><td>mare; corpus luteum; estrous cycle; progesterone; luteolysis</td></tr></table>"	-0,6715	-0,1597	4	2057	204668	19307	2010,5635	0	0	0
339	339	"moral distress; nurse staffing; critical thinking; nurse education; nursing care"	"<table><tr><td>Micro-level field:</td><td>339</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>nurse education today; journal of advanced nursing; journal of nursing administration; journal of nursing education; journal of nursing management</td></tr><tr><td>Terms:</td><td>moral distress; nurse staffing; critical thinking; nurse education; nursing care</td></tr></table>"	-0,563	0,5168	2	1922	194374	18990	2012,0917	0	0	0
342	342	"peri implantitis; mandibular overdenture; stress distribution; immediate loading; accuracy"	"<table><tr><td>Micro-level field:</td><td>342</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>clinical oral implants research; international journal of oral & maxillofacial implants; journal of prosthetic dentistry; clinical implant dentistry and related research; implant dentistry</td></tr><tr><td>Terms:</td><td>peri implantitis; mandibular overdenture; stress distribution; immediate loading; accuracy</td></tr></table>"	-0,6312	-0,0225	2	2426	246896	18921	2013,0873	0	0	0
357	357	"skutterudite; thermoelectric generator; pbte; bi2te3; electrodeposition"	"<table><tr><td>Micro-level field:</td><td>357</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of electronic materials; journal of alloys and compounds; journal of applied physics; applied physics letters; physical review b</td></tr><tr><td>Terms:</td><td>skutterudite; thermoelectric generator; pbte; bi2te3; electrodeposition</td></tr></table>"	0,7608	-0,5297	3	2094	209941	18669	2013,4092	0	0	0
359	359	"thiosemicarbazone; isatin; dna binding; molecular docking; dna cleavage study"	"<table><tr><td>Micro-level field:</td><td>359</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of molecular structure; journal of coordination chemistry; spectrochimica acta part a-molecular and biomolecular spectroscopy; polyhedron; asian journal of chemistry</td></tr><tr><td>Terms:</td><td>thiosemicarbazone; isatin; dna binding; molecular docking; dna cleavage study</td></tr></table>"	0,1489	-0,6583	3	2115	311210	18665	2010,828	0	0	0
376	376	"ovid; cicero; plato; horace; aeneid"	"<table><tr><td>Micro-level field:</td><td>376</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>classical quarterly; mnemosyne; hermes-zeitschrift fur klassische philologie; latomus; historia-zeitschrift fur alte geschichte</td></tr><tr><td>Terms:</td><td>ovid; cicero; plato; horace; aeneid</td></tr></table>"	-0,2536	0,8772	1	1109	10437	18203	2010,7905	0	0	0
390	390	"heart rate variability; baroreflex sensitivity; hrv; metabolic syndrome; cardiac autonomic function"	"<table><tr><td>Micro-level field:</td><td>390</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>american journal of physiology-heart and circulatory physiology; ieee engineering in medicine and biology society conference proceedings; journal of applied physiology; autonomic neuroscience-basic & clinical; computing in cardiology conference</td></tr><tr><td>Terms:</td><td>heart rate variability; baroreflex sensitivity; hrv; metabolic syndrome; cardiac autonomic function</td></tr></table>"	-0,7406	0,143	2	2578	309017	17816	2011,0605	0	0	0
391	391	"direct asymmetric aldol reaction; asymmetric michael addition; henry reaction; nitroolefin; bifunctional organocatalyst"	"<table><tr><td>Micro-level field:</td><td>391</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>organic letters; journal of organic chemistry; tetrahedron letters; angewandte chemie-international edition; journal of the american chemical society</td></tr><tr><td>Terms:</td><td>direct asymmetric aldol reaction; asymmetric michael addition; henry reaction; nitroolefin; bifunctional organocatalyst</td></tr></table>"	0,0202	-0,7216	3	1774	560162	17801	2012,0226	1	5,61766192910511E-05	2010
