id	label	description	x	y	cluster	weight
799	799	"<table><tr><td>Micro-level field;</td><td>799</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee conference on decision and control; proceedings of the american control conference; automatica; ifac papersonline; journal of process control</td></tr><tr><td>Terms;</td><td>distributed model predictive control; mpc; horizon control; boiler turbine unit; horizon estimation</td></tr></table>"	0.8128	0.2881	5	1307
19	19	"<table><tr><td>Micro-level field;</td><td>19</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>proceedings of spie; optics express; applied physics letters; journal of physical chemistry c; nano letters</td></tr><tr><td>Terms;</td><td>raman spectroscopy; raman; tip; near field; field optical microscopy</td></tr></table>"	0.7682	-0.4339	3	1248
671	671	"<table><tr><td>Micro-level field;</td><td>671</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee international conference on communications; computer networks; acm sigcomm computer communication review; ieee global communications conference; lecture notes in computer science</td></tr><tr><td>Terms;</td><td>sdn; data center network; software defined networking; openflow; nfv</td></tr></table>"	0.7482	0.5821	5	1145
1382	1382	"<table><tr><td>Micro-level field;</td><td>1382</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>proceedings of spie; optics express; optics letters; applied physics letters; ieee photonics technology letters</td></tr><tr><td>Terms;</td><td>gallery mode; whispering gallery mode resonator; microsphere resonator; microdisk</td></tr></table>"	0.9457	-0.35	3	1118
393	393	"<table><tr><td>Micro-level field;</td><td>393</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of power sources; international journal of hydrogen energy; journal of the electrochemical society; ecs transactions; electrochimica acta</td></tr><tr><td>Terms;</td><td>bipolar plate; gas diffusion layer; pem fuel cell system; phase flow; numerical study</td></tr></table>"	0.6631	-0.3871	3	1040
1391	1391	"<table><tr><td>Micro-level field;</td><td>1391</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on power delivery; iet generation transmission & distribution; ieee power and energy society general meeting pesgm; international journal of electrical power & energy systems; electric power systems research</td></tr><tr><td>Terms;</td><td>fault location; transmission line; distance relay; distributed generation; distribution system</td></tr></table>"	0.8674	0.247	5	1037
1316	1316	"<table><tr><td>Micro-level field;</td><td>1316</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>chemical communications; angewandte chemie-international edition; journal of the american chemical society; tetrahedron letters; organic letters</td></tr><tr><td>Terms;</td><td>triazole; click chemistry; click reaction; copper; dipolar cycloaddition</td></tr></table>"	-0.0008	-0.6803	3	978
1139	1139	"<table><tr><td>Micro-level field;</td><td>1139</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>transportation research part d-transport and environment; ieee transactions on vehicular technology; ieee vehicle power and propulsion conference; proceedings of the institution of mechanical engineers part d-journal of automobile engineering; transportation research record</td></tr><tr><td>Terms;</td><td>plug; energy management; emission; hybrid electric; hybrid energy storage system</td></tr></table>"	0.7939	0.2348	5	974
11	11	"<table><tr><td>Micro-level field;</td><td>11</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>crystengcomm; crystal growth & design; inorganic chemistry communications; inorganic chemistry; chemical communications</td></tr><tr><td>Terms;</td><td>metal organic framework; mof; zif; mil; uio</td></tr></table>"	0.3254	-0.6444	3	888
841	841	"<table><tr><td>Micro-level field;</td><td>841</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>lecture notes in computer science; ieee international conference on data engineering; ieee international conference on big data; communications in computer and information science; proceedings of the vldb endowment</td></tr><tr><td>Terms;</td><td>mapreduce; spark; data warehouse; hadoop; big data</td></tr></table>"	0.6218	0.6039	5	879
