id	label	description	x	y	cluster	weight
2985	2985	"<table><tr><td>Micro-level field;</td><td>2985</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>energy; applied energy; energy procedia; energy conversion and management; journal of energy storage</td></tr><tr><td>Terms;</td><td>compressed air energy storage system; caes; compressed air; air; thermodynamic analysis</td></tr></table>"	0.735	0.172	3	21
3226	3226	"<table><tr><td>Micro-level field;</td><td>3226</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on power electronics; ieee energy conversion congress and exposition; ieee industrial electronics society; iet power electronics; ieee transactions on industrial electronics</td></tr><tr><td>Terms;</td><td>z source inverter; z source; single phase quasi z source inverter</td></tr></table>"	0.8604	0.217	5	21
2451	2451	"<table><tr><td>Micro-level field;</td><td>2451</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on power electronics; annual ieee applied power electronics conference and exposition (apec); ieee energy conversion congress and exposition; ieee power electronics specialists conference records; ieee transactions on electromagnetic compatibility</td></tr><tr><td>Terms;</td><td>emi; emi filter; shaft voltage; emi reduction; common mode</td></tr></table>"	0.868	0.2064	5	21
457	457	"<table><tr><td>Micro-level field;</td><td>457</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>psychopharmacology; european journal of pharmacology; neuropharmacology; bioorganic & medicinal chemistry letters; brain research</td></tr><tr><td>Terms;</td><td>serotonin syndrome; selective serotonin reuptake inhibitor; ht1a receptor; citalopram; milnacipran</td></tr></table>"	-0.7287	0.0179	2	21
1988	1988	"<table><tr><td>Micro-level field;</td><td>1988</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>angewandte chemie-international edition; chemistry-a european journal; journal of the american chemical society; journal of organic chemistry; organic letters</td></tr><tr><td>Terms;</td><td>circularly polarized luminescence; helicene; 22paracyclophane; corannulene; pyrene</td></tr></table>"	0.3171	-0.6695	3	19
1990	1990	"<table><tr><td>Micro-level field;</td><td>1990</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee radar conference; proceedings of spie; european radar conference eurad; sensors; ieee transactions on microwave theory and techniques</td></tr><tr><td>Terms;</td><td>wall radar; wall; vital sign; wall imaging; micro doppler signature</td></tr></table>"	0.7874	0.39	5	19
2220	2220	"<table><tr><td>Micro-level field;</td><td>2220</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>acs catalysis; journal of the american chemical society; angewandte chemie-international edition; journal of materials chemistry a; chemsuschem</td></tr><tr><td>Terms;</td><td>electrochemical co2 reduction; co2; co2 reduction; carbon dioxide; formate</td></tr></table>"	0.5627	-0.5836	3	18
1678	1678	"<table><tr><td>Micro-level field;</td><td>1678</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>proceedings of spie; international journal of thermophysics; aip conference proceedings; infrared physics & technology; review of scientific instruments</td></tr><tr><td>Terms;</td><td>diffusivity; characterization; defect; lock; determination</td></tr></table>"	0.7581	-0.2369	3	18
3460	3460	"<table><tr><td>Micro-level field;</td><td>3460</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on power delivery; ieee power and energy society general meeting pesgm; iet generation transmission & distribution; ieee transactions on power electronics; ieee transactions on smart grid</td></tr><tr><td>Terms;</td><td>islanding detection; islanding; grid; inverter</td></tr></table>"	0.8478	0.2382	5	18
384	384	"<table><tr><td>Micro-level field;</td><td>384</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>energy and buildings; energy procedia; building and environment; applied energy; energies</td></tr><tr><td>Terms;</td><td>fault detection; model predictive control; diagnosis; optimum insulation thickness; chiller</td></tr></table>"	0.5759	0.182	3	18
