label	sublabel	description	x	y	cluster	weight
"dc microgrid; droop control; virtual synchronous generator; hybrid renewable energy system; parallel operation"	31459	"<table><tr><td>Micro-level field;</td><td>530</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on smart grid; energies; ieee power and energy society general meeting pesgm; ieee industrial electronics society; ieee energy conversion congress and exposition</td></tr><tr><td>Terms;</td><td>dc microgrid; droop control; virtual synchronous generator; hybrid renewable energy system; parallel operation</td></tr></table>"	0.8601	0.2445	5	31459
"fullerene c; fullerene derivative; isomer; cage; film"	30298	"<table><tr><td>Micro-level field;</td><td>377</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>chemical physics letters; fullerenes nanotubes and carbon nanostructures; journal of the american chemical society; physical review b; journal of chemical physics</td></tr><tr><td>Terms;</td><td>fullerene c; fullerene derivative; isomer; cage; film</td></tr></table>"	0.4426	-0.6084	3	30298
"inkjet printing; low temperature; inkjet; copper nanoparticle; printed electronic"	29920	"<table><tr><td>Micro-level field;</td><td>2126</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee antennas and propagation society international symposium; proceedings of spie; acs applied materials & interfaces; journal of electronic materials; journal of materials science-materials in electronics</td></tr><tr><td>Terms;</td><td>inkjet printing; low temperature; inkjet; copper nanoparticle; printed electronic</td></tr></table>"	0.7048	-0.4382	3	29920
"silicene; germanene; silicene nanoribbon; thermodynamic property; phase stability"	28741	"<table><tr><td>Micro-level field;</td><td>578</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>physical review b; computational materials science; journal of physics-condensed matter; physical chemistry chemical physics; journal of physical chemistry c</td></tr><tr><td>Terms;</td><td>silicene; germanene; silicene nanoribbon; thermodynamic property; phase stability</td></tr></table>"	0.7725	-0.5033	3	28741
"ionic liquid; synthesis; effect; butyl; water"	28618	"<table><tr><td>Micro-level field;</td><td>105</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of physical chemistry b; physical chemistry chemical physics; journal of molecular liquids; journal of chemical and engineering data; journal of chemical thermodynamics</td></tr><tr><td>Terms;</td><td>ionic liquid; synthesis; effect; butyl; water</td></tr></table>"	0.4072	-0.5241	3	28618
"oxygen evolution reaction; water oxidation; overall water splitting; efficient hydrogen evolution; zn air battery"	27755	"<table><tr><td>Micro-level field;</td><td>178</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of materials chemistry a; electrochimica acta; international journal of hydrogen energy; acs applied materials & interfaces; chemical communications</td></tr><tr><td>Terms;</td><td>oxygen evolution reaction; water oxidation; overall water splitting; efficient hydrogen evolution; zn air battery</td></tr></table>"	0.6285	-0.5371	3	27755
"atomic layer deposition; optical property; tio2; ald; hafnium"	26860	"<table><tr><td>Micro-level field;</td><td>593</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>applied physics letters; journal of applied physics; thin solid films; ecs transactions; microelectronic engineering</td></tr><tr><td>Terms;</td><td>atomic layer deposition; optical property; tio2; ald; hafnium</td></tr></table>"	0.7998	-0.4867	3	26860
"hematite; epsilon; goethite; hematite photoanode; alpha fe2o3"	26163	"<table><tr><td>Micro-level field;</td><td>1460</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of physical chemistry c; journal of materials chemistry a; international journal of hydrogen energy; rsc advances; acs applied materials & interfaces</td></tr><tr><td>Terms;</td><td>hematite; epsilon; goethite; hematite photoanode; alpha fe2o3</td></tr></table>"	0.6402	-0.5357	3	26163
"phthalocyaninato; thin film; porphyrazine; electrical property"	26155	"<table><tr><td>Micro-level field;</td><td>1231</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of porphyrins and phthalocyanines; dyes and pigments; russian journal of general chemistry; polyhedron; sensors and actuators b-chemical</td></tr><tr><td>Terms;</td><td>phthalocyaninato; thin film; porphyrazine; electrical property</td></tr></table>"	0.3961	-0.6287	3	26155
"polyaniline; polypyrrole; corrosion protection; toluidine; mild steel"	26149	"<table><tr><td>Micro-level field;</td><td>128</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>synthetic metals; journal of applied polymer science; electrochimica acta; polymer; journal of electroanalytical chemistry</td></tr><tr><td>Terms;</td><td>polyaniline; polypyrrole; corrosion protection; toluidine; mild steel</td></tr></table>"	0.5399	-0.5341	3	26149
"polyelectrolyte; aggregation induced emission; aie; tnt; explosife"	25173	"<table><tr><td>Micro-level field;</td><td>1263</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>chemical communications; journal of materials chemistry c; rsc advances; acs applied materials & interfaces; dyes and pigments</td></tr><tr><td>Terms;</td><td>polyelectrolyte; aggregation induced emission; aie; tnt; explosife</td></tr></table>"	0.3037	-0.6185	3	25173
"langmuir blodgett film; langmuir monolayer; cytochrome c; thiol; alkanethiol"	24248	"<table><tr><td>Micro-level field;</td><td>721</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>langmuir; journal of physical chemistry c; journal of physical chemistry b; applied surface science; journal of the american chemical society</td></tr><tr><td>Terms;</td><td>langmuir blodgett film; langmuir monolayer; cytochrome c; thiol; alkanethiol</td></tr></table>"	0.4837	-0.5513	3	24248
"tactile sensor; liquid metal; stretchable electronic; pressure sensor; fabric"	23446	"<table><tr><td>Micro-level field;</td><td>911</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>acs applied materials & interfaces; advanced materials; sensors and actuators a-physical; sensors; advanced functional materials</td></tr><tr><td>Terms;</td><td>tactile sensor; liquid metal; stretchable electronic; pressure sensor; fabric</td></tr></table>"	0.6527	-0.3825	3	23446
"silicon; lithium ion battery anode; silicon nanoparticle; lithiation; li4ti5o12"	22852	"<table><tr><td>Micro-level field;</td><td>98</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of power sources; electrochimica acta; journal of the electrochemical society; journal of materials chemistry a; rsc advances</td></tr><tr><td>Terms;</td><td>silicon; lithium ion battery anode; silicon nanoparticle; lithiation; li4ti5o12</td></tr></table>"	0.6575	-0.5348	3	22852
"luminescent solar concentrator; thiazole; luminescent; optical efficiency"	22458	"<table><tr><td>Micro-level field;</td><td>3573</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>proceedings of spie; solar energy materials and solar cells; optics express; solar energy; ieee photovoltaic specialists conference</td></tr><tr><td>Terms;</td><td>luminescent solar concentrator; thiazole; luminescent; optical efficiency</td></tr></table>"	0.6419	-0.5837	3	22458
"organogel; peptide; gelation; self assembly; supramolecular hydrogel"	21929	"<table><tr><td>Micro-level field;</td><td>981</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>chemical communications; langmuir; soft matter; journal of the american chemical society; chemistry-a european journal</td></tr><tr><td>Terms;</td><td>organogel; peptide; gelation; self assembly; supramolecular hydrogel</td></tr></table>"	0.2905	-0.6027	3	21929
"titanate nanotube; anodization; bioactivity; anodic growth; titanium implant"	21881	"<table><tr><td>Micro-level field;</td><td>1525</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>applied surface science; electrochimica acta; journal of nanoscience and nanotechnology; journal of physical chemistry c; materials letters</td></tr><tr><td>Terms;</td><td>titanate nanotube; anodization; bioactivity; anodic growth; titanium implant</td></tr></table>"	0.6373	-0.5341	3	21881
"gas sensing property; sno2 thin film; acetone; sno2 nanowire; tin oxide"	21545	"<table><tr><td>Micro-level field;</td><td>301</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>sensors and actuators b-chemical; materials letters; journal of alloys and compounds; applied surface science; journal of materials science-materials in electronics</td></tr><tr><td>Terms;</td><td>gas sensing property; sno2 thin film; acetone; sno2 nanowire; tin oxide</td></tr></table>"	0.6912	-0.5246	3	21545
"germanium; gesn; silicon photonic; silicon waveguide; molecular beam epitaxy"	20701	"<table><tr><td>Micro-level field;</td><td>479</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>optics express; proceedings of spie; conference on lasers and electro-optics; optics letters; ieee photonics technology letters</td></tr><tr><td>Terms;</td><td>germanium; gesn; silicon photonic; silicon waveguide; molecular beam epitaxy</td></tr></table>"	0.9456	-0.3488	3	20701
"singlet fission; rhodobacter; photosynthetic reaction center; j aggregate; dimensional electronic spectroscopy"	20519	"<table><tr><td>Micro-level field;</td><td>1369</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of physical chemistry b; journal of chemical physics; photosynthesis research; biochemistry; journal of physical chemistry letters</td></tr><tr><td>Terms;</td><td>singlet fission; rhodobacter; photosynthetic reaction center; j aggregate; dimensional electronic spectroscopy</td></tr></table>"	0.4026	-0.5912	3	20519
"left; negative refraction; composite right; transmission line; transformation optic"	20407	"<table><tr><td>Micro-level field;</td><td>248</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>optics express; proceedings of spie; applied physics letters; ieee antennas and propagation society international symposium; physical review b</td></tr><tr><td>Terms;</td><td>left; negative refraction; composite right; transmission line; transformation optic</td></tr></table>"	0.9361	-0.315	3	20407
"molecular junction; negative differential resistance; conductance; quantum transport; transport property"	19193	"<table><tr><td>Micro-level field;</td><td>1015</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>physical review b; journal of chemical physics; journal of physical chemistry c; journal of the american chemical society; nano letters</td></tr><tr><td>Terms;</td><td>molecular junction; negative differential resistance; conductance; quantum transport; transport property</td></tr></table>"	0.6151	-0.5705	3	19193
"silica; femtosecond laser pulse; damage; transparent material; dielectric"	18584	"<table><tr><td>Micro-level field;</td><td>556</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>proceedings of spie; applied surface science; applied physics a-materials science & processing; optics express; applied physics letters</td></tr><tr><td>Terms;</td><td>silica; femtosecond laser pulse; damage; transparent material; dielectric</td></tr></table>"	0.8298	-0.4157	3	18584
"memristor; resistive; rram; resistive switching; resistive random access memory"	17851	"<table><tr><td>Micro-level field;</td><td>623</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>applied physics letters; ieee electron device letters; journal of applied physics; ieee transactions on electron devices; nanotechnology</td></tr><tr><td>Terms;</td><td>memristor; resistive; rram; resistive switching; resistive random access memory</td></tr></table>"	0.7846	-0.4879	3	17851
"hydrogenic impurity; cu2o; binding energy; spherical quantum dot; semiconductor superlattice"	17676	"<table><tr><td>Micro-level field;</td><td>25</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>physical review b; journal of applied physics; applied physics letters; journal of crystal growth; proceedings of spie</td></tr><tr><td>Terms;</td><td>hydrogenic impurity; cu2o; binding energy; spherical quantum dot; semiconductor superlattice</td></tr></table>"	0.8919	-0.4472	3	17676
"supercapacitor; high performance supercapacitor; graphene; electrode material; carbon"	17270	"<table><tr><td>Micro-level field;</td><td>71</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>electrochimica acta; journal of power sources; journal of materials chemistry a; rsc advances; journal of alloys and compounds</td></tr><tr><td>Terms;</td><td>supercapacitor; high performance supercapacitor; graphene; electrode material; carbon</td></tr></table>"	0.6443	-0.5278	3	17270
