label	sublabel	description	x	y	cluster	weight
"piezoelectric energy harvester; vibration energy harvesting; vibration"	156	"<table><tr><td>Micro-level field;</td><td>1120</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>proceedings of spie; smart materials and structures; journal of physics conference series; journal of intelligent material systems and structures; sensors and actuators a-physical</td></tr><tr><td>Terms;</td><td>piezoelectric energy harvester; vibration energy harvesting; vibration</td></tr></table>"	0.8176	-0.0581	3	156
"silicon nanowire; molecular beam epitaxy; gaas; germanium nanowire"	155	"<table><tr><td>Micro-level field;</td><td>772</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>nano letters; applied physics letters; nanotechnology; journal of applied physics; journal of crystal growth</td></tr><tr><td>Terms;</td><td>silicon nanowire; molecular beam epitaxy; gaas; germanium nanowire</td></tr></table>"	0.7792	-0.4897	3	155
"lipase; beta galactosidase; immobilized lipase; candida rugosa lipase; esterification"	148	"<table><tr><td>Micro-level field;</td><td>319</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Life and earth sciences</td></tr><tr><td>Sources;</td><td>journal of molecular catalysis b-enzymatic; enzyme and microbial technology; process biochemistry; applied biochemistry and biotechnology; tetrahedron-asymmetry</td></tr><tr><td>Terms;</td><td>lipase; beta galactosidase; immobilized lipase; candida rugosa lipase; esterification</td></tr></table>"	-0.1687	-0.4761	3	148
"fish assemblage; marine reserf; artificial reef; fisheries management; gadus morhua"	135	"<table><tr><td>Micro-level field;</td><td>45</td></tr><tr><td>Main fields;</td><td>Life and earth sciences</td></tr><tr><td>Sources;</td><td>fisheries research; ices journal of marine science; marine policy; marine ecology progress series; canadian journal of fisheries and aquatic sciences</td></tr><tr><td>Terms;</td><td>fish assemblage; marine reserf; artificial reef; fisheries management; gadus morhua</td></tr></table>"	-0.1332	-0.1274	4	135
"fischer tropsch synthesis; methanol synthesis; hydrogen production; co2 methanation; steam"	130	"<table><tr><td>Micro-level field;</td><td>124</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>international journal of hydrogen energy; applied catalysis a-general; catalysis today; journal of catalysis; catalysis letters</td></tr><tr><td>Terms;</td><td>fischer tropsch synthesis; methanol synthesis; hydrogen production; co2 methanation; steam</td></tr></table>"	0.6042	-0.5214	3	130
"subspace identification; wiener system; auxiliary model; nonlinear distortion; hammerstein system"	124	"<table><tr><td>Micro-level field;</td><td>1293</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee conference on decision and control; automatica; proceedings of the american control conference; ieee transactions on automatic control; ifac papersonline</td></tr><tr><td>Terms;</td><td>subspace identification; wiener system; auxiliary model; nonlinear distortion; hammerstein system</td></tr></table>"	0.8143	0.2916	5	124
"olefin metathesis; metathesis catalyst; metathesis polymerization; romp"	120	"<table><tr><td>Micro-level field;</td><td>1553</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>tetrahedron letters; organic letters; journal of the american chemical society; organometallics; journal of organic chemistry</td></tr><tr><td>Terms;</td><td>olefin metathesis; metathesis catalyst; metathesis polymerization; romp</td></tr></table>"	0.0343	-0.7241	3	120
"reliability evaluation; probabilistic load flow; reliability assessment; maintenance scheduling; capacity credit"	116	"<table><tr><td>Micro-level field;</td><td>2079</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on power systems; ieee power and energy society general meeting pesgm; international journal of electrical power & energy systems; iet generation transmission & distribution; electric power systems research</td></tr><tr><td>Terms;</td><td>reliability evaluation; probabilistic load flow; reliability assessment; maintenance scheduling; capacity credit</td></tr></table>"	0.8438	0.2622	5	116
"sba; mesoporous silica; ti mcm; epoxidation"	114	"<table><tr><td>Micro-level field;</td><td>274</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>microporous and mesoporous materials; studies in surface science and catalysis; chemistry of materials; chemical communications; journal of materials chemistry</td></tr><tr><td>Terms;</td><td>sba; mesoporous silica; ti mcm; epoxidation</td></tr></table>"	0.5337	-0.5241	3	114
"partial discharge; emi; emi filter; shaft voltage; common mode voltage"	113	"<table><tr><td>Micro-level field;</td><td>2186</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on power electronics; annual ieee applied power electronics conference and exposition (apec); ieee energy conversion congress and exposition; ieee transactions on industry applications; ieee power electronics specialists conference records</td></tr><tr><td>Terms;</td><td>partial discharge; emi; emi filter; shaft voltage; common mode voltage</td></tr></table>"	0.8919	0.2145	5	113
