nuts2	country_iso_alpha3_code	cluster_id1	counts
PT11	PRT	598	53
ITH5	ITA	184	59
FRH0	FRA	5	236
DED2	DEU	1311	8
DEG0	DEU	248	165
NL32	NLD	2635	6
FRG0	FRA	1382	21
UKH2	GBR	2227	3
NL22	NLD	959	7
DED2	DEU	1831	151
ITC1	ITA	156	3633
UKM5	GBR	47	4
DED4	DEU	738	4
LV00	LVA	772	3040
SI03	SVN	50	20
CH02	CHE	381	18
DED4	DEU	1101	16
UKD7	GBR	1835	152
UKI3	GBR	838	4
UKM7	GBR	1785	102
DED4	DEU	66	709
UKD6	GBR	785	8
ITH2	ITA	196	1
NL41	NLD	479	238
TR81	TUR	360	1
PL51	POL	1015	3
FRK2	FRA	3076	680
DK02	DNK	0	6
DED2	DEU	639	1
ES30	ESP	1486	2
TR61	TUR	328	22
DE50	DEU	699	3
ES30	ESP	2112	252
ITH3	ITA	363	126
DEA5	DEU	588	3
FI1B	FIN	1113	81
DEA5	DEU	54	6
FI1B	FIN	2331	40
FRF1	FRA	1956	596
CH01	CHE	2300	40
DE25	DEU	123	1
DK02	DNK	1709	12
HU11	HUN	899	4
ITI2	ITA	1065	8
DEA3	DEU	624	1
CH04	CHE	2243	2
UKI4	GBR	412	1
PT16	PRT	496	10
DK01	DNK	2437	8
NL21	NLD	321	4
ES62	ESP	233	3
TR22	TUR	734	24
FRD1	FRA	2482	2
ITG2	ITA	1947	8
FRF1	FRA	1709	764
DEC0	DEU	1013	50
DED4	DEU	150	38
FRJ1	FRA	532	56
ITH5	ITA	78	7879
CH01	CHE	2573	9
FRL0	FRA	1754	7
UKG3	GBR	2849	2
ES22	ESP	248	51
DE91	DEU	323	161
IE06	IRL	1831	216
DE21	DEU	1831	327
ITI4	ITA	738	24
PT11	PRT	321	42
FI1D	FIN	2721	1
ITI4	ITA	902	13
SE12	SWE	705	2
DE30	DEU	2088	9
UKH1	GBR	2088	230
EL30	GRC	1956	268
DEB3	DEU	2127	24
DEA3	DEU	1854	13
ITC4	ITA	395	80
UKL2	GBR	360	63
RO11	ROU	0	4
ITC1	ITA	1001	26
CZ01	CZE	105	146
EL30	GRC	738	6
UKF1	GBR	800	9
ES41	ESP	252	52
UKJ1	GBR	1847	44
ITF3	ITA	639	3
UKD3	GBR	2112	12
ITG1	ITA	651	46
TRB1	TUR	128	113
AT13	AUT	1322	9
FR10	FRA	865	229
UKJ3	GBR	1847	24
NL41	NLD	3104	4
TR10	TUR	5	12
UKJ1	GBR	902	3
DE21	DEU	2377	4
PL22	POL	299	128
FRF2	FRA	534	6
UKD6	GBR	158	93
UKE2	GBR	1776	3
NL31	NLD	17	792
FRJ2	FRA	1703	16
SE33	SWE	1468	2
AT13	AUT	2745	8
HR05	HRV	1944	64
RO21	ROU	1025	28
UKJ1	GBR	128	382
UKD3	GBR	412	13
BE24	BEL	760	90
UKE4	GBR	1587	56
PL22	POL	1308	40
UKD4	GBR	25	22
UKN0	GBR	921	18
FRK2	FRA	2260	86
ES30	ESP	438	69
UKK1	GBR	87	1400
CH04	CHE	823	1
DE12	DEU	1343	30
UKC1	GBR	1058	163
ITC3	ITA	44	204
LV00	LVA	942	13
SE22	SWE	484	4
CZ07	CZE	158	14
RO32	ROU	1490	5
FI1B	FIN	104	36
UKF1	GBR	1491	12
DEE0	DEU	377	4
PL91	POL	1259	10
DED2	DEU	1462	55
TR42	TUR	256	134
DE60	DEU	2127	24
BE10	BEL	0	120
ITG2	ITA	774	55
DE12	DEU	462	10
CH01	CHE	2528	1
ES11	ESP	184	293
CZ06	CZE	811	54
DE25	DEU	1553	17
DE23	DEU	1939	1
UKM7	GBR	2463	3
DEA2	DEU	558	32
FR10	FRA	1100	20
SE23	SWE	481	4
DEG0	DEU	624	15
FRJ1	FRA	2437	4
IE06	IRL	530	4
FI19	FIN	899	6
EL30	GRC	413	15
UKC1	GBR	341	8
FRD1	FRA	274	26
PT11	PRT	1311	4
FRI1	FRA	1587	16
PL84	POL	856	102
ITC4	ITA	630	96
NL32	NLD	1231	25
DEA1	DEU	377	252
CH03	CHE	232	16
DE12	DEU	3062	10
ITF4	ITA	1276	17
AT31	AUT	3927	2
CH04	CHE	84	3
FRE2	FRA	360	4
PT18	PRT	123	2
DE40	DEU	959	385
UKM8	GBR	2074	108
FRE1	FRA	50	38
UKH2	GBR	1151	83
BE35	BEL	1226	8
NL41	NLD	630	6
UKJ2	GBR	501	97
BE10	BEL	1073	2
PT16	PRT	959	282
SE12	SWE	1460	241
UKJ1	GBR	501	30
DEB3	DEU	3573	20
ITC4	ITA	578	596
FRJ2	FRA	360	77
ITC4	ITA	58	63
NL33	NLD	193	3
UKL2	GBR	232	21
HR05	HRV	350	56
NO08	NOR	245	58
SE22	SWE	1747	1
SE31	SWE	1854	237
FRI1	FRA	58	25
ES43	ESP	381	29
