nuts2	country_iso_alpha3_code	cluster_id1	counts
FRE1	FRA	201	10
DE13	DEU	1322	50
FRC2	FRA	205	6
ES22	ESP	1289	12
NL33	NLD	1450	30
TR42	TUR	105	4
UKF2	GBR	1752	4
UKD7	GBR	299	12
UKJ3	GBR	1468	5
DE30	DEU	57	4
DE12	DEU	2223	4
CZ03	CZE	208	8
UKM5	GBR	5	16
ITI4	ITA	3045	49
FR10	FRA	1752	77
NL32	NLD	646	2
DE26	DEU	19	42
ES41	ESP	1830	34
BG34	BGR	205	2
UKD3	GBR	772	16
DE91	DEU	1355	12
FRJ1	FRA	201	12
ES62	ESP	1830	4
ITH4	ITA	412	6
ES30	ESP	1743	293
BE24	BEL	137	10
BE10	BEL	1343	4
DED2	DEU	1587	16
TRB2	TUR	857	2
FRB0	FRA	205	18
DE13	DEU	252	28
UKJ1	GBR	2933	7
TR10	TUR	1441	24
UKK1	GBR	1247	9
DK01	DNK	422	99
DE71	DEU	28	15
UKG3	GBR	124	43
UKM7	GBR	50	21
SE11	SWE	959	18
EL52	GRC	2822	2
ITH1	ITA	1355	30
DE23	DEU	124	40
PL41	POL	2537	75
CH03	CHE	271	101
BE24	BEL	1457	8
NL41	NLD	1738	70
UKM8	GBR	959	1
DE13	DEU	271	24
UKF1	GBR	1896	48
SE23	SWE	105	6
DEA3	DEU	286	2
ES51	ESP	3573	16
UKH1	GBR	726	6
NL32	NLD	1401	20
BE23	BEL	3350	6
BE21	BEL	201	17
DED4	DEU	3045	28
TRB1	TUR	1468	1
ITC4	ITA	19	78
FI19	FIN	57	57
CY00	CYP	1752	2
ITI4	ITA	381	29
UKM6	GBR	921	7
CZ01	CZE	201	18
ITH5	ITA	772	415
DK03	DNK	1738	20
DE11	DEU	724	28
HU11	HUN	1441	1
PL21	POL	1604	10
AT31	AUT	1398	4
UKL1	GBR	132	2
ES30	ESP	2426	45
NL32	NLD	1355	9
UKG2	GBR	3301	9
TR51	TUR	2426	26
RO32	ROU	215	32
FR10	FRA	1896	78
FRF3	FRA	156	21
SE11	SWE	132	2
TR61	TUR	205	1
CH03	CHE	959	9
ITF6	ITA	857	6
AT33	AUT	105	8
BE23	BEL	1457	1
UKD6	GBR	66	57
TR51	TUR	852	2
UKM7	GBR	645	2
PL61	POL	646	6
EL54	GRC	3045	23
FRF1	FRA	1743	1
TR62	TUR	156	20
UKE4	GBR	1604	7
DE13	DEU	2725	13
FI1D	FIN	201	26
DE73	DEU	1289	3
UKD3	GBR	66	539
BE10	BEL	105	33
DE30	DEU	201	46
NL33	NLD	1738	56
DEB3	DEU	645	32
ITF1	ITA	1955	3
SI04	SVN	1348	18
ITH3	ITA	3045	33
FRD2	FRA	156	1
ITC4	ITA	2435	6
FRF3	FRA	201	9
FRK2	FRA	1343	48
RO32	ROU	87	52
TR62	TUR	137	16
TR42	TUR	1743	15
ITG2	ITA	1760	52
UKE2	GBR	205	8
FRG0	FRA	639	18
IE06	IRL	2743	12
FRI1	FRA	208	15
PT17	PRT	1775	43
DEE0	DEU	1398	12
ITC4	ITA	208	46
ITF3	ITA	3045	108
ES62	ESP	3301	4
TR32	TUR	87	12
PT16	PRT	105	222
CH05	CHE	1604	40
UKL2	GBR	78	6
DED2	DEU	50	37
FRK1	FRA	2537	8
CH04	CHE	1752	2
IE06	IRL	381	24
UKI3	GBR	726	16
DEA5	DEU	921	15
UKK4	GBR	1468	3
UKE1	GBR	1830	8
ITI1	ITA	1468	27
NL22	NLD	1896	163
ES52	ESP	1743	16
PL42	POL	1429	10
DE25	DEU	1247	38
UKJ2	GBR	772	28
PL21	POL	1723	4
DED4	DEU	422	20
DEB3	DEU	381	7
ITG1	ITA	313	6
UKC2	GBR	1605	12
BG41	BGR	205	2
FRF1	FRA	921	30
UKF1	GBR	174	6
FI1D	FIN	66	15
FRK2	FRA	469	4
PL51	POL	66	27
CY00	CYP	2725	4
DEC0	DEU	2725	4
UKM7	GBR	1918	21
RS11	SRB	3301	20
UKH2	GBR	1441	34
DE94	DEU	274	12
DE27	DEU	66	8
DE60	DEU	838	18
ES13	ESP	1398	8
ITH5	ITA	1587	112
BE24	BEL	1955	2
FI19	FIN	66	10
FR10	FRA	614	8
CZ01	CZE	205	4
TR62	TUR	44	10
UKH1	GBR	1896	7
ES42	ESP	87	22
FRK1	FRA	1628	6
PT16	PRT	50	16
FI19	FIN	593	11
DED2	DEU	124	20
AT31	AUT	1343	12
ES51	ESP	1355	12
UKK1	GBR	959	6
FRH0	FRA	245	6
PL91	POL	381	5
FRC2	FRA	721	1
ITH3	ITA	857	6
FRB0	FRA	1743	5
FR10	FRA	3589	12
ITC3	ITA	5	16
UKE1	GBR	645	4
TR33	TUR	5	62
DE12	DEU	50	13
DED2	DEU	105	8
AT12	AUT	1738	40
DEA5	DEU	1978	4
FI19	FIN	47	4
DEA2	DEU	236	5
SI04	SVN	1775	675
FR10	FRA	341	9
