nuts2	country_iso_alpha3_code	cluster_id1	counts
UKJ2	GBR	760	6
DEA2	DEU	376	46
DEB3	DEU	920	1
AT21	AUT	639	120
CH03	CHE	256	24
TR81	TUR	182	10
UKM8	GBR	2028	4
TRB2	TUR	1450	4
UKD7	GBR	510	2
TR31	TUR	639	274
HU11	HUN	2854	10
CH04	CHE	1332	299
ES52	ESP	2256	8
FRB0	FRA	2308	4
ES51	ESP	2022	12
EL30	GRC	335	9
NL41	NLD	1602	28
FRF1	FRA	444	2
HR03	HRV	1083	4
BE21	BEL	274	4
NO06	NOR	2854	14
FI1B	FIN	337	156
NL31	NLD	1468	6
NL33	NLD	2184	63
TR42	TUR	299	10
UKH1	GBR	348	46
ITC4	ITA	1139	6
TRC1	TUR	1605	70
ES30	ESP	2184	3
BE25	BEL	1175	7
NO09	NOR	1440	18
UKD7	GBR	381	7
PL42	POL	1891	4
ITH4	ITA	677	5
UKG3	GBR	1289	4
DE73	DEU	1083	69
DE40	DEU	437	80
DE60	DEU	275	10
DE40	DEU	639	50
SE12	SWE	337	332
DE91	DEU	2854	4
ES30	ESP	2608	4
PL41	POL	530	12
UKK3	GBR	1891	135
UKE3	GBR	857	6
SE33	SWE	1152	2
FR10	FRA	1468	113
ITH3	ITA	2203	8
FRJ1	FRA	19	26
UKF1	GBR	1332	103
TR51	TUR	3389	2
BE24	BEL	444	262
DE12	DEU	2022	22
NL22	NLD	1738	36
UKI7	GBR	920	2
ITC3	ITA	393	4
ITI1	ITA	259	6
UKI3	GBR	393	87
BE24	BEL	228	8
EL41	GRC	437	1
UKG2	GBR	1332	2
CY00	CYP	1468	56
DE12	DEU	448	45
FI1C	FIN	662	22
PT16	PRT	337	404
ES21	ESP	2978	6
PT16	PRT	864	6
PL41	POL	639	8
SE11	SWE	376	9
EL52	GRC	1468	14
NO06	NOR	482	2
DEF0	DEU	765	60
BE24	BEL	482	24
TR10	TUR	1083	68
DE73	DEU	639	1218
ES52	ESP	672	90
LV00	LVA	1120	9
ITG2	ITA	1605	280
TR51	TUR	189	2
ES41	ESP	639	100
UKE3	GBR	1657	26
DEF0	DEU	1083	21
DK02	DNK	1576	366
DE30	DEU	1492	2
DEA5	DEU	994	16
ITF3	ITA	3301	2
PT16	PRT	83	20
ITH5	ITA	256	134
FRJ2	FRA	3301	6
UKI3	GBR	348	182
NL32	NLD	1891	12
EL52	GRC	530	237
UKF1	GBR	1605	198
NO0A	NOR	1891	16
FRH0	FRA	662	12
FRD2	FRA	444	4
TR52	TUR	857	12
BE10	BEL	760	38
ITC4	ITA	381	211
TR42	TUR	1450	18
DK01	DNK	1468	28
DEA4	DEU	796	10
RO41	ROU	393	3
UKI3	GBR	2022	194
FRI3	FRA	632	162
BG41	BGR	632	8
DE25	DEU	1738	26
SE11	SWE	1542	1
PL63	POL	259	2
